,address,area,building_year,facts,heizkosten,image,kaltmiete,kaution,keywords,nebenkosten,num_rooms,online_id,parking,text_ausstattung,text_description,text_lage,text_sonstiges,text_summary,title,url,warmmiete,postcode,Balcony_Terrace,Elevator
38,"10249 Berlin (Friedrichshain), Straßmannstraße 17",146.0,Baujahr 2020,"Terrasse, Gäste WC, Kelleranteil, barrierefrei, Personenaufzug, Einbauküche, Neubau",,https://media-pics2.immowelt.org/F/8/1/D/07F133C97D254633B4EE3F976EC9D18F.jpg,2590.0,5940,Anzahl Terrassen: 1,280,4.0,2vfrl47,,"Fußbodenheizung, Klimaanlage in jedem Zimmer, Holzfußboden, großzügige Einbauküche mit Induktionsherd, Backofen, Gefrier-Kühlkombinantion, Geschirrspüler, Doppelwaschbecken mit Unterschränken.
Gäste-WC
Kammer
Außenjalousien und innen Velux-Sonnenschutz an allen Fenstern.
große elektrische Markise an der Terrasse
überdachter Fahrradstellplatz","großzügig geschnittene Penthouse-Wohnung, ca. 10 qm große Terrasse, Blick über den Park zur Frankfurter Allee, rd. 60 qm großer Wohnraum mit integrierter Einbauküche, 3,50 m hohe Zimmerdecke. Bestens isoliert.","in einem sehr begehrten Kiez am schönen Petersburger Platz, mit Kinderspielplatz, in ruhiger Seitenstraße. Sehr gute verkehrsmäßige Anbindung auch an den öffentlichen Nahverkehr",,"Erstbezug über den Dächern von Berlin , sonnige 4-Zimmer-Wohnung in  Friedrichshain","Erstbezug über den Dächern von Berlin , sonnige 4-Zimmer-Wohnung in  Friedrichshain Penthouse Berlin (2VFRL47) ",https://www.immowelt.de/expose/2vfrl47,280 €,10249,True,True
39,"10829 Berlin (Schöneberg), Leberstraße 23",47.67,Baujahr 1900,"Bad mit Wanne, Einbauküche, Zentralheizung","62,04 €",https://media-pics2.immowelt.org/9/1/3/8/FC99FB5704C04FD8A4F1B6D605758319.jpg,962.96,"2.888,88",6 Etagen,"62,04",1.0,2vzc94d,,"Küche
- Geschirrspüler",,,"In dem Mietvertrag wird eine Nettokaltmiete in Höhe von 962.96 Euro vereinbart.
Es wird ausdrücklich darauf hingewiesen, dass vor dem Hintergrund des Berliner Mietendeckels während des Geltungszeitraums des MietenWoG Bln lediglich eine Nettokaltmiete in Höhe von 355.4 Euro  gefordert und entgegengenommen wird.
Die im Mietvertrag vereinbarte Nettokaltmiete in Höhe von 962.96 Euro wäre dann vollständig zu zahlen, wenn sich die Verfassungswidrigkeit oder sonstige Nichtigkeit des MietenWoG Bln, ganz oder teilweise im Hinblick auf die für die Miete nach dem MietenWoG Bln relevanten Teile, erweisen sollte, dass MietenWoG Bln endet, außer Vollzug gesetzt wird oder in sonstiger Weise außer Kraft tritt.
Bei einer Verfassungswidrigkeit oder sonstigen Nichtigkeit des MietenWoG Bln, ganz oder teilweise im Hinblick auf die für die Miete nach dem MietenWoG Bln relevanten Teile, würde der Vermieter die Differenz zwischen der im Mietvertrag vereinbarten Miete und der nach dem MietenWoG Bln zulässigen Miete seit dem Beginn der Pflicht zur Zahlung der Miete nachfordern.",1 Zimmerwohnung mit Einbauküche und Wannenbad,1 Zimmerwohnung mit Einbauküche und Wannenbad Wohnung Berlin (2VZC94D) ,https://www.immowelt.de/expose/2vzc94d,"62,04 €",10829,False,False
40,"10557 Berlin (Moabit), Lydia-Rabinowitsch Str 7",87.0,Baujahr 2018,"Balkon, Bad mit Wanne, Gäste WC, Kelleranteil, Personenaufzug, Einbauküche, Neubau",174 €,https://media-pics2.immowelt.org/A/F/C/6/D9E729957EB649759553D0A425546CFA.jpg,1340.0,4020,Anzahl Balkone: 1,174,3.0,2udta4v,,"3 Zimmer im 4. Obergeschoss, Küche, Bad/WC, Gäste-WC, Abstellraum, Loggia, Flur und, Kellerabteil. Die Wohnfläche beträgt 86,83 qm.","Wir suchen einen Nachmieter/eine Nachmieterin für unsere schöne und gut geschnittene 3-Zimmer-Wohnung in Berlin-Mitte, Lydia-Rabinowitsch-Straße. Geeignet auch für eine kleine Familie!!!!!!
Im Nebenhaus befindet sich eine Kindertagesstätte. Haustiere sind in der Wohnung erlaubt.
Kosten der Wohnung:
Kaltmiete 1.340 EUR
Nebenkosten 240 EUR
Der Tiefgaragenplatz muss für monatlich 125 EUR dazu gemietet werden.","Die Wohnung liegt 10 Minuten Fußweg entfernt vom Hauptbahnhof in der Nähe des Museums Hamburger Bahnhof. Zwei Gehminuten vom Kanal entfernt, der den Nordhafen mit der Spree verbindet.",,Schöne und gut geschnittene 3-Zimmer-Wohnung in Berlin-Mitte ab 01.06.2020,Schöne und gut geschnittene 3-Zimmer-Wohnung in Berlin-Mitte ab 01.06.2020 Wohnung Berlin (2UDTA4V) ,https://www.immowelt.de/expose/2udta4v,174 €,10557,True,True
41,"14052 Berlin (Charlottenburg), Olympische Straße 16",148.03,Baujahr 1928,"Bad mit Wanne, Gäste WC, Kelleranteil, Personenaufzug, Einbauküche, Zentralheizung",220 €,https://media-pics1.immowelt.org/6/B/5/A/A51B33147B1A48EE9AC9CC7F9842A5B6.jpg,1700.0,5100,,220,4.0,2u5mg42,,"Alle Wohnräume sind mit klassischem, aufgearbeitetem Fischgrätparkett ausgestattet. In der Wohnung befindet sich zudem eine große, voll ausgestattete weiße Einbauküche. Ein luxuriöses Wannenbad mit zwei Waschbecken, sowie ein Gästebad - ebenfalls mit zwei Waschbecken - sorgen für alltäglichen Komfort. Im Haus befindet sich zudem ein Fahrstuhl. Fahrradanschließmöglichkeiten gibt es im begrünten und abschließbaren Innenhof.","Die großzügig geschnittene Altbauwohnung ist nach Süden gerichtet und dementsprechend sehr hell. Das große Wohnzimmer verfügt über klassischen Deckenstuck und einen schönen, runden Erker. Es ist mit dem zweiten Wohnraum über eine breite Tür verbunden; ein drittes Zimmer mit seltenem Marmor-Kamin schließt sich an. Im hinteren Teil der Wohnung befinden sich das Schlafzimmer, zwei Badezimmer und eine geräumige Küche.","Die Wohnung befindet sich in einer von Berlins begehrten Wohngegenden. Das ruhige, grüne Neu-Westend bietet neben Parks, Restaurants, Cafés alle wichtigen Einkaufsmöglichkeiten. Der sichere und friedliche Stadtteil hat zudem eine sehr gute Verkehrsanbindung: U2 und Bus befinden sich in 2-minütiger Laufdistanz; auch mit dem Auto ist die City West (Ku'damm) in 10-15 Minuten schnell erreicht.",,"Lichtdurchflutete Altbauwohnung mit Kamin, Erker und Weitblick","Lichtdurchflutete Altbauwohnung mit Kamin, Erker und Weitblick Wohnung Berlin (2U5MG42) ",https://www.immowelt.de/expose/2u5mg42,220 €,14052,False,True
42,"13593 Berlin (Spandau), Cosmarweg 57",76.23,Baujahr 1971,"Balkon, Bad mit Wanne, Kelleranteil, Personenaufzug, frei, Neubau","152,46 €",https://media-pics2.immowelt.org/C/F/2/5/09BAFA05DF7948C2A316E8344D6D52FC.jpg,490.24,"1.470,71",,"152,46",3.0,2v7mq4e,,,"Das Gebäude wurde 1971 errichtet und verfügt über einen Fahrstuhl. Zu jeder Wohnung gibt es außerdem einen Kellerverschlag.
Die Heizkosten werden extern abgerechnet und sind nicht in der von uns angegebenen Warmmiete enthalten. Der Vertrag für die Heizung wird von Ihnen direkt mit dem Energieanbieter abgeschlossen. Es handelt sich um eine Nachtspeicherheizung.","Die Umgebung zeichnet sich durch optimale Verkehrsanbindungen, vielfältige Einkaufsmöglichkeiten und familienfreundliche Entfernungen zu Bildungs- und Freizeitstätten aus.
Einen Katzensprung entfernt liegt die Heerstraße. Sie sichert eine perfekte PKW-Anbindung in das Herzen Berlins. Dank mehrerer Buslinien ist auch ohne PKW eine hohe Flexibilität gegeben.
An der Heerstraße liegen verschiedene Geschäfte des alltäglichen Bedarfs, wie auch Restaurants und Cafés für die unterschiedlichsten Geschmäcker. Durch das nahegelegene Staaken-Einkaufszentrum gehören lange Einkaufswege der Vergangenheit an. Das Einkaufszentrum umfasst Banken, Einkaufsmärkte, Postfilialen, Apotheken und natürlich Shoppingmöglichkeiten für Jäger und Sammler von Textilien.
Mehrere Parks und Sportplätze ermöglichen eine vielfältige Outdoor-Freizeitgestaltung, speziell für Jogger und Fahrradfahrer. Die Kleinen unter uns freuen sich über nahegelegene Spielplätze, Jugend-Freizeiteinrichtungen und einen Skatepark.
Die kurzgehaltenen Wege zu gleich mehreren Kindertagesstätten in der Umgebung, erleichtern das alltägliche Familienleben enorm. Quasi nur einen Steinwurf entfernt liegt außerdem die Christian-Morgenstern-Grundschule, auf der Kinder die ersten Schritte ihrer schulischen Laufbahn machen können.",,Wohnparadies für kleine Familien & Pärchen mit Platzbedarf!,Wohnparadies für kleine Familien & Pärchen mit Platzbedarf! Etagenwohnung Berlin (2V7MQ4E) ,https://www.immowelt.de/expose/2v7mq4e,"152,46 €",13593,True,True
43,"13407 Berlin (Wittenau), Roedernallee 168",24.64,Baujahr 1973,"Personenaufzug, Zentralheizung",56 €,https://media-pics2.immowelt.org/C/6/1/C/66F005F38D104CF28FC75759FF38C16C.jpg,291.98,"446,49",,56,1.0,2vgrd4f,,Rollläden; Aufzug; Türsprechanlage; Warmwasserbereiter; superflache Dusche; barrierearmes WC; Zentralheizung; Fernwärme; Rauchwarnmelder; Fenster mit Wärmeschutzverglasung; Design-Vinyl-Belag; Kochnische;,,,"Um einen Besichtigungstermin zu buchen, können Sie jederzeit unter Angabe der Referenz-/Objektnummer 82-0964540003 unseren Chatbot unter bot.vonovia.de erreichen. Sie erreichen uns ebenfalls über WhatsApp oder telefonisch - sehen Sie alle unsere Kontaktwege unter kontakt.vonovia.de.
Bei der dargestellten Miete handelt es sich um die zulässige Grundmiete nach dem Bürgerlichem Gesetzbuch (BGB), insbesondere nach den 556 d ff. BGB (Mietpreisbremse). Gegebenenfalls wird im Rahmen des MietenWoG Bln ein Abschlag gewährt. Wir werden diesen - dann vorläufigen - Abschlag vor Mietvertragsschluss nach den Bestimmungen des MietenWoG Bln beziffern und erläutern. Genauere Informationen erhalten Sie im Rahmen des Mietvertragsabschlusses.
Die Kabelgebühren sind bereits in den Nebenkosten enthalten.
Die Internetgeschwindigkeit in dieser Wohnung beträgt bis zu 500 Mbit/s. Hinweise darüber, wie die Vonovia Ihre personenbezogenen Daten als Interessent verarbeitet, erhalten Sie unter www.vonovia.de/datenschutzinformation. Alle Angaben in diesem Exposé wurden sorgfältig und so vollständig wie möglich gemacht. Gleichwohl kann das Vorhandensein von Fehlern nicht ausgeschlossen werden. Die Angaben in diesem Exposé erfolgen daher ohne jede Gewähr. Maßgeblich sind die im Mietvertrag geschlossenen Vereinbarungen. Soweit die Grundrissgrafiken Maßangaben und Einrichtungen enthalten, wird auch für diese jegliche Haftung ausgeschlossen. Mietverhandlungen sind ausschließlich über den benannten Ansprechpartner zu führen. Mietpreisänderungen bleiben vorbehalten.
Buchen Sie rund um die Uhr online Ihren Besichtigungstermin unter www.vonovia.de.",günstige Studentenbude in Reinickendorf,günstige Studentenbude in Reinickendorf Wohnung Berlin (2VGRD4F) ,https://www.immowelt.de/expose/2vgrd4f,56 €,13407,False,True
44,10115 Berlin (Mitte),60.0,Baujahr 2010,"Personenaufzug, Einbauküche, Neubau",,https://media-pics2.immowelt.org/C/6/A/4/BE8E684D7A214A8094030F8872FD4A6C.jpg,1130.0,,"Anzahl der Schlafzimmer: 1, Anzahl der Badezimmer: 1, Balkon-Terrassen-Fläche: 11,00 m², Bundesland: Berlin, 4 Etagen, Lage im Wohngebiet",200,2.0,2vncm4e,,"-exzellent gepflegte Wohnung
-komplett möbliert
-Einbauschränke im Flur
-Abstellkammer
-ca. 11qm Balkon
-Schiffsboden 3-Stab, Eiche cremeweiß in der ganzen Wohnung
Einbauküche vollausgestattet mit Geschirr und Zubehör
elegantes Bad mit grossformatigen Fliesen
Isolierglasfenster aus Holz
gespachtelte Wände
Frei ab 1.10.2020",,,,Exquisite Zweit-Wohnung unweit Hauptbahnhof,Exquisite Zweit-Wohnung unweit Hauptbahnhof Etagenwohnung Berlin (2VNCM4E) ,https://www.immowelt.de/expose/2vncm4e,200 €,10115,False,True
45,10557 Berlin (Tiergarten),60.0,Baujahr 2020,"Balkon, Bad mit Wanne, Personenaufzug, Einbauküche, frei, Neubau",224 €,https://media-pics1.immowelt.org/5/3/D/7/49E5A141C42042A7A77A32876AA47D35.jpg,1323.0,3969,,224,2.0,2vhdw4e,,"Scrollen nach unten fuer Deutsch
Equipment :
The 2 room apartments are completely designed and fully equipped with contemporary & brand new furniture.
A large wardrobe (180cm) with drawer units. For additional storage the apartment comes with a cellar.
- Floor-to-ceiling windows and a large balcony overlooking the quiet courtyard.
- Elevator
- Bicycle parking in the underground car park or in inner courtyard
- Modern bathroom with bathtub, equipped with washing machine
- Open kitchen area: tastefully fitted kitchen equipped with ceramic hob, extractor hood, sink, dishwasher, refrigerator, oven.
- High quality parquet flooring with underfloor heating
- Furniture and design: All furniture is brand new! A cosy sofa designed in Scandinavian style.
Ausstattung :
Die 2 Zimmer Apartments sind komplett designed und voll ausgestattet mit wunderschönen zeitgemäßen Möbeln.
Aufbewahrungsmöglichkeiten durch 1,80 m breite Kleiderschränke und Schubladen Elemente, sowie jeweils einen Keller.
- Bodentiefe Fenster und einen großen Balkon mit Blick zum bepflanzten ruhigen Innenhof.
- Aufzug
- Fahrradstellplätze in hauseigener Tiefgarage oder im Innenhof
- Modernes Bad mit Badewanne, ausgestattet mit Waschmaschine
- Offener Küchenbereich: geschmackvolle Einbauküche ausgestattet mit Ceran Kochfeld, Abzugshaube, Spüle, Geschirrspüler, Kühlschrank, Backofen.
- Hochwertiger Parkettboden mit Fußbodenheizung
- Möbel und Design: Alle Möbel sind Neu! Ein gemütliches Sofa, Design im Skandinavischen Stil.
Die Apartments sind in der Nebenstraße. und daher ruhig gelegen. Das Wohnzimmer schaut zum ruhigen Innenhof raus.
Ein sehr gelungener Schnitt der Apartments.","Scrollen nach unten fuer Deutsch
English :
Video & Virtual tour here - https://urbanground.de/property-details?id=545890
Description :
Brand new apartment complex completed in Feb 2020
A haven of peace in the middle of the city, framed by water surfaces for a variety of lifestyles.
A modern home for people who love the turbulent city life as much as a quiet living environment.
** Additional Charges: Internet and electricity costs are 95 euros.
Video & Virtual-Tour hier - https://urbanground.de/property-details?id=545890
Objektbeschreibung :
Bei den wunderschönen geschnittenen und geschmackvollen eingerichteten Apartments , handelt es sich um das Projekt: Wasserstadt Mitte Apartments.
Das gesamte Projekt wurde 2020 fertig gestellt; daher handelt es sich um einen Erstbezug.
Einen Ruhepol mitten im Zentrum der Stadt, von Wasserflächen gerahmt und mit Wohnungen für unterschiedlichste Lebensentwürfe.
Ein modernes Zuhause für Menschen, die das turbulente Großstadtleben ebenso lieben wie ein ruhiges Wohnumfeld.
** Zusätzliche Kosten: Die Internet- und Stromkosten betragen 95 Euro.","Scrollen nach unten fuer Deutsch
English :
Location :
Relaxed life in the centre of Berlin: Only a few hundred metres away from the government quarter (Regierungsviertel) , the main railway station (Hauptbahnhof) and the cultural highlights of the historic centre, the ""Wasserstadt Mitte"" is situated in a beautiful waterfront location. Framed by the Nordhafen with its parks, the Berlin-Spandauer-Schifffahrtskanal and the lively new piazza of Europacity.
It is indeed a unique retreat at the pulse of the German capital
All hotspots in Berlin can be reached within short distance
- 7 minutes by bus to the main station/ 10 minutes walk
- 20 minutes to Alexanderplatz
- 15 minutes to Potzdamerplatz
- 30 minutes to Berlin TXL Airport
- 15 minutes to the Brandenburg Gate
Entspanntes Leben im Zentrum Berlins: Nur wenige hundert Meter entfernt von Regierungsviertel, Hauptbahnhof und den Kulturhighlights der historischen Mitte, liegt die Wasserstadt Mitte in schönster Wasserlage. Gerahmt vom Nordhafen mit seinen Parkanlagen, dem Berlin-Spandauer-Schifffahrtskanal und der lebendigen neuen Piazza der Europacity, entsteht ein einzigartiger Rückzugsort am Puls der Hauptstadt.
Alle Hotspots in Berlin mit kurzen Verkehrsmitteln erreichbar
- 7 Min. mit dem Bus zum Hauptbahnhof/ 10 Min. Fußläufig
- 20 Min. zum Alexanderplatz
- 15 Min. zum Potzdamerplatz
- 30 Min. zum Flughafen Berlin TXL
- 15 Min. bis zum Brandenburger Tor",,Fully-furnished 2 room flat with balcony - Video viewing possible,Fully-furnished 2 room flat with balcony - Video viewing possible Etagenwohnung Berlin (2VHDW4E) ,https://www.immowelt.de/expose/2vhdw4e,224 €,10557,True,True
46,"10557 Berlin (Moabit), Lehrter Str. 24 c",47.0,Baujahr 2020,"Personenaufzug, Einbauküche, frei, Neubau",174 €,https://media-pics2.immowelt.org/B/2/8/0/C742B0E33EAA4803BBA829B5A61A082B.jpg,1193.0,1.193,,174,2.0,2v9fw4e,,"Scrollen nach untern fuer deutsche Version
English :
Furniture :
** Additional Charges: Internet and electricity costs are 50 euros.
Refrigerator
Möbel :
** Zusätzliche Kosten: Die Internet- und Stromkosten betragen 100 Euro.
Kühlschrank","Scrollen nach untern fuer deutsche Version
English :
Virtual tour - https://urbanground.de/property-details?id=545945
Overview :
A lot of comfort and a lot of amenities in a small space. The fully equipped studio in the newly built FRITZ TOWER combines the obvious opposites of quality and space. Perfect for singles or expatriates who want to live centrally in Berlin temporarily or those who are commuting and appreciate an all inclusive service with hotel character.
What’s cool about the apartment? :
The building offers the following features:
Concierge service
Bistro
Co-Working Area
Lounge
Fitness room
The studios are equipped to a high standard: from a timeless kitchenette with stove, refrigerator and built-in microwave to modern bathrooms with spacious walk-in showers.
Why Choose this apartment? :
The high-quality interior design is perfectly matched to your needs.
The range of apartments in the FRITZ TOWER is supplemented by services that are more likely to be found in good hotels: fast, wireless Internet, an in-house fitness studio and a co-working space are among the integrated services offered by the hotel. A cosy bistro is located on the ground floor. A concierge service relieves you of many of the duties of everyday life and thus gives you more time for more important things. These amenities allow residents to make the most of their free time at home - whether for their career or for relaxation.
Übersicht :
virtueller Rundgang - https://urbanground.de/property-details?id=545945
Viel Komfort und jede Menge Annehmlichkeiten auf kleinem Raum. Das voll ausgestattete Studio im neu gebauten FRITZ TOWER vereint die scheinbaren Gegensätze von Qualität und Platzangebot. Perfekt für Singles oder Expatriates die temporär in Berlin zentral leben möchten oder Pendler, die einen all inclusive Service mit Hotelcharakter schätzen.
Was ist cool an der Wohnung? :
Das Gebäude bietet die folgenden Merkmale:
Conciergeservice
Bistro
Co-Working-Area
Lounge
Fitnessraum
Die Studios werden hochwertig ausgestattet: von einer zeitlosen Kueche mit Kochfeld, Kühlschrank und eingebauter Mikrowelle bis hin zu modernen Bädern mit großzügigen Walk-In-Duschen.
Warum diese Wohnung wählen? :
Das hochwertige Interior Design ist perfekt abgestimmt auf Ihre Bedürfnisse.
Das Wohnungsangebot des FRITZ TOWER wird um Services ergänzt, die man eher aus guten Hotels kennt: Schnelles, kabelloses Internet, ein hauseigenes Fitnessstudio sowie ein Co-Working-Space gehören zu den integrierten Angeboten des Hauses. Im Erdgeschoss befindet sich ein gemütliches Bistro. Ein Concierge Service nimmt Ihnen viele Pflichten des Alltags ab und schenkt Ihnen auf diese Weise mehr Zeit für wichtigere Dinge. Diese Annehmlichkeiten eröffnen den Bewohnern die Möglichkeit, die Freizeit zu Hause bestens zu nutzen – sei es für die Karriere oder zur Entspannung.",,,First occupancy: two room apartment in Mitte - Video viewing possible,First occupancy: two room apartment in Mitte - Video viewing possible Etagenwohnung Berlin (2V9FW4E) ,https://www.immowelt.de/expose/2v9fw4e,174 €,10557,False,True
47,10557 Berlin (Tiergarten),58.0,Baujahr 2020,"Balkon, Bad mit Wanne, Personenaufzug, Einbauküche, frei, Neubau",217 €,https://media-pics2.immowelt.org/9/E/3/A/4BAF4B81BDE040CCA56D66C1ACC5A3E9.jpg,1298.0,3894,,217,2.0,2vqew4e,,"Furniture :
** Additional Charges: Internet and electricity costs are 95 euros.
Double Bed,  Dining Table,  Working Desk,  Chairs,  Coffee Table,  Table Lamp,  Wardrobe,  Washing machine,  Refrigerator,  Wooden Flooring,  Toaster,  Sheets,  Iron,  Dishwasher,  Vacuum Cleaner
Möbel :
** Zusätzliche Kosten: Die Internet- und Stromkosten betragen 95 Euro.
Doppelbett,  Esstisch,  Arbeitstisch,  Stühle,  Beistelltisch,  Tischlampe,  Garderobe,  Waschmaschine,  Kühlschrank,  Holzfußboden,  Toaster,  Regale,  Bügeleisen,  Spülmaschine,  Staubsauger","Scrollen Sie nach unten für die deutsche Version
Overview :
Virtual & Video Tour here - https://urbanground.de/property-details?id=545917
Brand new apartment complex completed in Feb 2020
A haven of peace in the middle of the city, framed by water surfaces for a variety of lifestyles.
A modern home for people who love the turbulent city life as much as a quiet living environment. The 2 room apartments are completely designed and fully equipped with contemporary & brand new furniture.
A large wardrobe (180cm) with drawer units. For additional storage the apartment comes with a cellar.
- Floor-to-ceiling windows and a large balcony overlooking the quiet courtyard.
- Elevator
- Bicycle parking in the underground car park or in inner courtyard
- Modern bathroom with bathtub, equipped with washing machine
- Open kitchen area: tastefully fitted kitchen equipped with ceramic hob, extractor hood, sink, dishwasher, refrigerator, oven.
- High quality parquet flooring with underfloor heating
- Furniture and design: All furniture is brand new! A cosy sofa designed in Scandinavian style.
Relaxed life in the centre of Berlin: Only a few hundred metres away from the government quarter (Regierungsviertel) , the main railway station (Hauptbahnhof) and the cultural highlights of the historic centre, the ""Wasserstadt Mitte"" is situated in a beautiful waterfront location. Framed by the Nordhafen with its parks, the Berlin-Spandauer-Schifffahrtskanal and the lively new piazza of Europacity.
It is indeed a unique retreat at the pulse of the German capital
How many rooms does the apartment have? :
1 Bedroom & a large living area with an open kitchen. Both the bedroom & living space open up to a large balcony facing the courtyard
Deutsche Version:
Overview :
Virtual & Video Tour here - https://urbanground.de/property-details?id=545917
Bei den wunderschönen geschnittenen und geschmackvollen eingerichteten Apartments , handelt es sich um das Projekt: Wasserstadt Mitte Apartments.
Das gesamte Projekt wurde 2020 fertig gestellt; daher handelt es sich um einen Erstbezug.
Einen Ruhepol mitten im Zentrum der Stadt, von Wasserflächen gerahmt und mit Wohnungen für unterschiedlichste Lebensentwürfe.
Ein modernes Zuhause für Menschen, die das turbulente Großstadtleben ebenso lieben wie ein ruhiges Wohnumfeld. Die 2 Zimmer Apartments sind komplett designed und voll ausgestattet mit wunderschönen zeitgemäßen Möbeln.
Aufbewahrungsmöglichkeiten durch 1,80 m breite Kleiderschränke und Schubladen Elemente, sowie jeweils einen Keller.
- Bodentiefe Fenster und einen großen Balkon mit Blick zum bepflanzten ruhigen Innenhof.
- Aufzug
- Fahrradstellplätze in hauseigener Tiefgarage oder im Innenhof
- Modernes Bad mit Badewanne, ausgestattet mit Waschmaschine
- Offener Küchenbereich: geschmackvolle Einbauküche ausgestattet mit Ceran Kochfeld, Abzugshaube, Spüle, Geschirrspüler, Kühlschrank, Backofen.
- Hochwertiger Parkettboden mit Fußbodenheizung
- Möbel und Design: Alle Möbel sind Neu! Ein gemütliches Sofa, Design im Skandinavischen Stil.
Die Apartments sind in der Nebenstraße. und daher ruhig gelegen. Das Wohnzimmer schaut zum ruhigen Innenhof raus.
Ein sehr gelungener Schnitt der Apartments. Entspanntes Leben im Zentrum Berlins: Nur wenige hundert Meter entfernt von Regierungsviertel, Hauptbahnhof und den Kulturhighlights der historischen Mitte, liegt die Wasserstadt Mitte in schönster Wasserlage. Gerahmt vom Nordhafen mit seinen Parkanlagen, dem Berlin-Spandauer-Schifffahrtskanal und der lebendigen neuen Piazza der Europacity, entsteht ein einzigartiger Rückzugsort am Puls der Hauptstadt.
Wie viele Zimmer hat die Wohnung? :
1 Schlafzimmer & ein großer Wohnbereich mit einer offenen Küche. Sowohl der Schlaf- als auch der Wohnbereich öffnen sich zu einem großen Balkon mit Blick auf den Innenhof.","How is the commute from here to other locations? :
All hotspots in Berlin can be reached within short distance
- 7 minutes by bus to the main station/ 10 minutes walk
- 20 minutes to Alexanderplatz
- 15 minutes to Potzdamerplatz
- 30 minutes to Berlin TXL Airport
- 15 minutes to the Brandenburg Gate
Alle Hotspots in Berlin mit kurzen Verkehrsmitteln erreichbar
- 7 Min. mit dem Bus zum Hauptbahnhof/ 10 Min. Fußläufig
- 20 Min. zum Alexanderplatz
- 15 Min. zum Potzdamerplatz
- 30 Min. zum Flughafen Berlin TXL
- 15 Min. bis zum Brandenburger Tor",,Furnished 2 room apartment with Balcony - Video Viewing Possible,Furnished 2 room apartment with Balcony - Video Viewing Possible Etagenwohnung Berlin (2VQEW4E) ,https://www.immowelt.de/expose/2vqew4e,217 €,10557,True,True
48,10178 Berlin (Mitte),175.4,Baujahr 2005,"Terrasse, Gäste WC, Kelleranteil, barrierefrei, Personenaufzug, Einbauküche, Zentralheizung, Neubau",,https://media-pics2.immowelt.org/C/8/1/8/DBB1747D618746CDB348D2E890B6818C.jpg,4034.2,"12.102,60","Stellplatz vorhanden, Anzahl der Schlafzimmer: 2, Anzahl der Badezimmer: 1, Anzahl Terrassen: 2, 8 Etagen, modernisiert: 2020",850,4.5,2vxrm4e,,,,,,"mit blick auf die museumsinsel, die spree und den berliner dom (8.1)","mit blick auf die museumsinsel, die spree und den berliner dom (8.1) Penthouse Berlin (2VXRM4E) ",https://www.immowelt.de/expose/2vxrm4e,850 €,10178,True,True
